gpu_name,g3d_mark,tdp,category
Radeon R7 M260X,991,NA,Mobile
Radeon HD 8690M,984,NA,Mobile
Radeon R9 M375,980,NA,Mobile
Radeon HD 8850M,973,NA,Mobile
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,967,NA,Mobile
Radeon HD 6770M,964,NA,Mobile
Radeon HD 7640G + 7690M Dual,946,NA,Mobile
Radeon HD 6750M,937,NA,Mobile
Radeon HD 7660G + 7730M Dual,931,NA,Mobile
GeForce GT 645M,930,32,Mobile
GeForce GT 640M,919,32,Mobile
Radeon 6750M,911,NA,Mobile
Radeon HD 7690M,909,20,Mobile
Radeon HD 8550G + 7600M Dual,901,NA,Mobile
Radeon HD 8650G + 7670M Dual,884,NA,Mobile
Radeon HD 7660G + HD 7730M Dual,882,NA,Mobile
Mobility Radeon HD 4850,866,NA,Mobile
Radeon HD 8500M/8700M,853,NA,Mobile
Radeon HD 7660G + 7600M Dual,832,NA,Mobile
Radeon HD 8650G + 8600/8700M Dual,832,NA,Mobile
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,NA,Mobile
Radeon HD 8650G + HD 7600M Dual,820,NA,Mobile
Radeon HD 8550G + HD 8750M Dual,819,NA,Mobile
GeForce GT 730M,815,33,Mobile
Radeon R9 M280X,814,75,Mobile
GeForce GT 445M,811,35,Mobile
Radeon HD 8550G + 8600/8700M Dual,803,NA,Mobile
Radeon HD 8650G + HD 8790M Dual,800,NA,Mobile
Radeon HD 6800M,799,NA,Mobile
Radeon HD 8550G + 8750M Dual,796,NA,Mobile
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,796,NA,Mobile
GeForce GT 740M,792,NA,Mobile
Radeon HD 8650G + 8750M Dual,787,NA,Mobile
GeForce 825M,782,33,Mobile
Radeon HD 7660G + HD 7700M Dual,777,NA,Mobile
Radeon HD 7640G + 7500M/7600M Dual,776,NA,Mobile
Radeon HD 7600M + 7600M Dual,773,NA,Mobile
Radeon HD 8650G N HD 8650G + HD 8570M Dual,773,NA,Mobile
Radeon HD 7730M,766,25,Mobile
Radeon HD 8650G + HD 8600/8700M Dual,764,NA,Mobile
