CPU Name,Cores,CPU Mark,Thread Mark,"TDP									","Socket										",Category
Intel Core i7-4720HQ @ 2.60GHz,4,"5,764","1,869",47,BGA1364,Laptop
AMD Ryzen 3 3300U,4,"5,738","1,863",15,FP5,Laptop
Intel Core i7-4800MQ @ 2.70GHz,4,"5,737","1,917",47,rPGA946B,Laptop
Intel Core i5-1030NG7 @ 1.10GHz,4,"5,723","1,762",10,BGA1526,Laptop
Intel Core i5-8365UE @ 1.60GHz,4,"5,711","2,188",15,FCBGA1528,Laptop
Intel Core i5-7440EQ @ 2.90GHz,4,"5,711","2,131",45,FCBGA1440,Laptop
Intel Core i7-3920XM @ 2.90GHz,4,"5,710","1,916",55,FCPGA988,Laptop
Microsoft SQ1 @ 3.0 GHz,8,"5,704","1,831",15,Unknown,Laptop
Intel Core i7-3740QM @ 2.70GHz,4,"5,695","1,875",45,rPGA988B,Laptop
Intel Core i7-3720QM @ 2.60GHz,4,"5,684","1,869",45,BGA1224,Laptop
Intel Core i7-4750HQ @ 2.00GHz,4,"5,680","1,745",47,FCBGA1364,Laptop
AMD Ryzen 5 3500C,4,"5,647","1,980",15,FP5,Laptop
Intel Core i7-4700HQ @ 2.40GHz,4,"5,638","1,795",47,FCBGA1364,Laptop
Intel Core i7-3820QM @ 2.70GHz,4,"5,635","1,864",45,BGA1224,Laptop
Intel Core i7-4722HQ @ 2.40GHz,4,"5,620","1,844",37,FCBGA1364,Laptop
Intel Core i7-3615QE @ 2.30GHz,4,"5,548","1,791",45,BGA1224,Laptop
AMD Ryzen 3 2300U,4,"5,544","1,748",15,FP5,Laptop
Intel Core i7-4710HQ @ 2.50GHz,4,"5,533","1,779",47,FCBGA1364,Laptop
Intel Core i5-7440HQ @ 2.80GHz,4,"5,512","2,078",45,BGA1440,Laptop
Intel Core i7-4860EQ @ 1.80GHz,4,"5,500","1,754",47,FCBGA1364,Laptop
Intel Core i5-6440EQ @ 2.70GHz,4,"5,445","2,045",45,FCBGA1440,Laptop
Intel N95,4,"5,377","1,934",15,Unknown,"Laptop, Mobile/Embedded"
Intel Pentium Silver N6005 @ 2.00GHz,4,"5,374","1,769",10,FCBGA1338,"Laptop, Mobile/Embedded"
Intel Core i7-4700MQ @ 2.40GHz,4,"5,345","1,758",47,rPGA946B,Laptop
Intel Core i7-4712MQ @ 2.30GHz,4,"5,334","1,815",37,FCPGA946,Laptop
Intel Core i7-4702HQ @ 2.20GHz,4,"5,334","1,627",37,FCBGA1364,Laptop
Intel Core i7-4712HQ @ 2.30GHz,4,"5,323","1,717",37,FCBGA1364,Laptop
Intel Xeon E3-1505L v5 @ 2.00GHz,4,"5,301","1,590",25,FCBGA1440,"Laptop, Server"
Intel Core i7-6822EQ @ 2.00GHz,4,"5,241","1,572",25,LGA 1151,Laptop
Snapdragon 8c @ 2.46 GHz,8,"5,230","1,544",NA,Unknown,"Laptop, Mobile/Embedded"
Intel Core i7-3615QM @ 2.30GHz,4,"5,204","1,704",45,BGA1224,Laptop
Intel Pentium Gold 7505 @ 2.00GHz,2,"5,200","2,262",15,FCBGA1449,Laptop
Intel Core i7-4702MQ @ 2.20GHz,4,"5,182","1,704",37,FCPGA946,Laptop
Intel Core i7-8665UE @ 1.70GHz,4,"5,170","1,621",15,FCBGA1528,Laptop
Intel Core i7-3630QM @ 2.40GHz,4,"5,121","1,687",45,rPGA988B,Laptop
Intel Core i5-6440HQ @ 2.60GHz,4,"5,121","1,967",45,LGA 1151,Laptop
Intel Core i7-3610QM @ 2.30GHz,4,"5,120","1,668",45,PGA988B,Laptop
Intel Core i7-10510Y @ 1.20GHz,4,"5,100","2,004",7,UTFCBGA1377,Laptop
Intel Core i5-7300HQ @ 2.50GHz,4,"5,093","1,957",45,Unknown,Laptop
Intel Core i5-8265UC @ 1.60GHz,4,"5,073","2,020",NA,FCBGA1528,Laptop
Intel Core i7-3610QE @ 2.30GHz,4,"5,026","1,582",45,rPGA988B,Laptop
Snapdragon 8cx @ 2.84 GHz,8,"4,999","1,720",NA,Unknown,"Laptop, Mobile/Embedded"
Intel Core i7-3612QE @ 2.10GHz,4,"4,929","1,678",35,BGA1224,Laptop
Intel Core i3-1005G1 @ 1.20GHz,2,"4,925","2,190",15,FCBGA1526,Laptop
Intel Core i5-7442EQ @ 2.10GHz,4,"4,834","1,819",25,FCBGA1440,Laptop
Intel Core i3-9100TE @ 2.20GHz,4,"4,791","1,676",35,FCLGA1151-2,Laptop
Intel Core i7-3635QM @ 2.40GHz,4,"4,776","1,697",45,Unknown,Laptop
Intel Core i7-2960XM @ 2.70GHz,4,"4,754","1,598",55,PGA988B,Laptop
AMD Athlon Gold 7220U,2,"4,725","2,076",15,FP6,Laptop
Intel Core i7-3632QM @ 2.20GHz,4,"4,697","1,583",35,rPGA988B,Laptop
Intel Core i5-6300HQ @ 2.30GHz,4,"4,692","1,788",45,LGA 1151,Laptop
Intel Core i7-3612QM @ 2.10GHz,4,"4,672","1,541",35,"PGA988B, FCBGA12",Laptop
Intel Core i7-6970HQ @ 2.80GHz,4,"4,632","1,532",45,FCBGA1440,Laptop
AMD Athlon Silver 3050GE,2,"4,545","2,016",35,AM4,Laptop
Intel Core i7-2860QM @ 2.50GHz,4,"4,506","1,547",45,BGA1224,Laptop
Intel Core i5-6442EQ @ 1.90GHz,4,"4,487","1,649",25,FCBGA1440,Laptop
Intel Core i5-10210Y @ 1.00GHz,4,"4,475","1,858",7,UTFCBGA1377,Laptop
AMD Athlon 220GE,2,"4,429","1,961",35,AM4,Laptop
Intel Pentium 6805 @ 1.10GHz,2,"4,424","1,834",15,FCBGA1526,Laptop
Intel Core i7-2920XM @ 2.50GHz,4,"4,418","1,469",55,FCPGA988,Laptop
Intel Core i3-8121U @ 2.20GHz,2,"4,388","1,942",15,Unknown,Laptop
Intel Core i7-2820QM @ 2.30GHz,4,"4,385","1,488",45,BGA1224,Laptop
Intel Core i7-2760QM @ 2.40GHz,4,"4,367","1,535",45,BGA1224,Laptop
Intel Core i5-6350HQ @ 2.30GHz,4,"4,255","1,420",45,LGA 1151,Laptop
Intel Core i3-8109U @ 3.00GHz,2,"4,254","2,120",28,FCBGA1528,Laptop
Intel Core i3-8140U @ 2.10GHz,2,"4,227","2,135",15,FCBGA1528,Laptop
Intel Core i7-7567U @ 3.50GHz,2,"4,126","2,217",28,BGA1356,Laptop
Intel Core i3-8145UE @ 2.20GHz,2,"4,099","2,335",15,FCBGA1528,Laptop
AMD Athlon PRO 300U,2,"4,080","1,931",15,FP5,Laptop
Intel Core i7-7660U @ 2.50GHz,2,"4,064","2,143",15,BGA1356,Laptop
Intel Core i7-2710QE @ 2.10GHz,4,"4,044","1,393",45,PGA988B,Laptop
Intel Core i7-2720QM @ 2.20GHz,4,"4,034","1,379",45,BGA1224,Laptop
AMD Athlon Gold 3150U,2,"4,008","1,772",15,FP5,Laptop
Intel Core i5-7260U @ 2.20GHz,2,"3,981","1,984",15,BGA1356,Laptop
AMD Athlon 300U,2,"3,923","1,799",15,FP5,Laptop
Intel Core i3-10110U @ 2.10GHz,2,"3,899","2,199",15,FCBGA1528,Laptop
Intel Core i5-7360U @ 2.30GHz,2,"3,875","2,113",15,FCBGA1356,Laptop
